county,district_112
Allamakee,1
Benton,1
Black_Hawk,1
Bremer,1
Buchanan,1
Clayton,1
Delaware,1
Dubuque,1
Fayette,1
Howard,1
Iowa,1
Jackson,1
Jones,1
Linn,1
Marshall,1
Mitchell,1
Poweshiek,1
Tama,1
Winneshiek,1
Worth,1
Appanoose,2
Cedar,2
Clarke,2
Clinton,2
Davis,2
Decatur,2
Des_Moines,2
Henry,2
Jasper,2
Jefferson,2
Johnson,2
Keokuk,2
Lee,2
Louisa,2
Lucas,2
Mahaska,2
Marion,2
Monroe,2
Muscatine,2
Scott,2
Van_Buren,2
Wapello,2
Washington,2
Wayne,2
Adair,3
Adams,3
Cass,3
Dallas,3
Fremont,3
Guthrie,3
Madison,3
Mills,3
Montgomery,3
Page,3
Polk,3
Pottawattamie,3
Ringgold,3
Taylor,3
Union,3
Warren,3
Audubon,4
Boone,4
Buena_Vista,4
Butler,4
Calhoun,4
Carroll,4
Cerro_Gordo,4
Cherokee,4
Chickasaw,4
Clay,4
Crawford,4
Dickinson,4
Emmet,4
Floyd,4
Franklin,4
Greene,4
Grundy,4
Hamilton,4
Hancock,4
Hardin,4
Harrison,4
Humboldt,4
Ida,4
Kossuth,4
Lyon,4
Monona,4
O'Brien,4
Osceola,4
Palo_Alto,4
Plymouth,4
Pocahontas,4
Sac,4
Shelby,4
Sioux,4
Story,4
Webster,4
Winnebago,4
Woodbury,4
Wright,4
