year,ST,PVI,metric,dist_loss,porp_loss,sing_dist,prev_dist_loss,prev_porp_loss,dist_change,porp_change,no_map,Row,Column,State
2020,AL,R+15,0.65,-1.2219932478582436,-0.1745704639797491,Multi-District,-1.2684844759284193,-0.18121206798977418,0.046491228070175694,0.006641604010025087,Complete,6,7.5,Alabama
2020,AK,R+9,0.59,-0.36350877192982456,-0.36350877192982456,Single District,-0.36350877192982456,-0.36350877192982456,0.0,0.0,Complete,0,0.5,Alaska
2020,AZ,R+3,0.53,-0.901064474771851,-0.10011827497465012,Multi-District,0.04768619505410854,0.0052984661171231705,-0.9487506698259596,-0.10541674109177329,Complete,5,3.0,Arizona
2020,AR,R+16,0.66,-1.2205263157894737,-0.3051315789473684,Multi-District,-1.0764098090530188,-0.2691024522632547,-0.14411650673645493,-0.03602912668411373,Complete,5,6.0,Arkansas
2020,CA,D+14,0.36,10.037207296403054,0.19302321723852026,Multi-District,10.095207200690586,0.19047560756019974,-0.057999904287532544,0.002547609678320517,Complete,5,2.0,California
2020,CO,D+3,0.47,0.189333553074297,0.023666694134287125,Multi-District,0.47551944000644486,0.06793134857234927,-0.28618588693214786,-0.04426465443806214,Complete,4,3.5,Colorado
2020,CT,D+7,0.43,1.3545797524496432,0.27091595048992867,Multi-District,1.4592324805339265,0.2918464961067853,-0.10465272808428328,-0.020930545616856644,Complete,3,11.0,Connecticut
2020,DE,D+6,0.44,0.3954140127388535,0.3954140127388535,Single District,0.3954140127388535,0.3954140127388535,0.0,0.0,Complete,4,9.5,Delaware
2020,FL,R+3,0.53,,,Multi-District,-0.18169183401381162,-0.0067293271856967265,,,Incomplete,8,8.5,Florida
2020,GA,R+3,0.53,-1.602169857346368,-0.11444070409616915,Multi-District,-1.5178159155697042,-0.10841542254069315,-0.08435394177666389,-0.006025281555475992,Complete,7,8.0,Georgia
2020,HI,D+15,0.35,0.6911012235817575,0.34555061179087876,Multi-District,0.6911012235817575,0.34555061179087876,0.0,0.0,Complete,8,0.5,Hawaii
2020,ID,R+19,0.69,-0.5735087719298246,-0.2867543859649123,Multi-District,-0.5735087719298246,-0.2867543859649123,0.0,0.0,Complete,3,2.0,Idaho
2020,IL,D+7,0.43,3.0638394068206063,0.18022584746003567,Multi-District,1.4579871075537083,0.08099928375298379,1.605852299266898,0.09922656370705188,Complete,3,6.0,Illinois
2020,IN,R+11,0.61,-1.4425319184784549,-0.16028132427538389,Multi-District,-1.2788855130516135,-0.14209839033906815,-0.1636464054268414,-0.01818293393631573,Complete,3,7.0,Indiana
2020,IA,R+6,0.56,-0.6473637034806083,-0.16184092587015209,Multi-District,-0.9796624663167242,-0.24491561657918104,0.3322987628361158,0.08307469070902895,Complete,3,5.0,Iowa
2020,KS,R+11,0.61,-1.0743724696356272,-0.2685931174089068,Multi-District,-0.8379852857951327,-0.20949632144878316,-0.2363871838404945,-0.05909679596012363,Complete,5,5.0,Kansas
2020,KY,R+16,0.66,-0.7608591972621408,-0.1268098662103568,Multi-District,-0.9514669320687705,-0.15857782201146176,0.19060773480662974,0.03176795580110495,Complete,4,6.5,Kentucky
2020,LA,R+12,0.62,,,Multi-District,-1.1449757039985942,-0.1908292839997657,,,Incomplete,6,5.5,Louisiana
2020,ME,D+1,0.49,0.1661583465975086,0.0830791732987543,Multi-District,0.1661583465975086,0.0830791732987543,0.0,0.0,Complete,0,11.5,Maine
2020,MD,D+14,0.36,1.9109785753907655,0.2388723219238457,Multi-District,1.9042442870245693,0.23803053587807116,0.006734288366196273,0.0008417860457745341,Complete,4,8.5,Maryland
2020,MA,D+14,0.36,3.2044048943270296,0.35604498825855885,Multi-District,3.1642682952750047,0.3515853661416672,0.040136599052024824,0.0044596221168916594,Complete,2,10.5,Massachusetts
2020,MI,R+1,0.51,-0.33578273878214926,-0.025829441444780714,Multi-District,-1.2520824997146942,-0.0894344642653353,0.916299760932545,0.06360502282055458,Complete,2,7.5,Michigan
2020,MN,D+1,0.49,-0.20139298084335522,-0.025174122605419402,Multi-District,-0.34550948757980926,-0.04318868594747616,0.14411650673645404,0.018014563342056755,Complete,2,4.5,Minnesota
2020,MS,R+10,0.6,-0.5114669320687706,-0.12786673301719265,Multi-District,-0.5114669320687706,-0.12786673301719265,0.0,0.0,Complete,6,6.5,Mississippi
2020,MO,R+11,0.61,,,Multi-District,-0.8605943568088694,-0.10757429460110868,,,Incomplete,4,5.5,Missouri
2020,MT,R+11,0.61,-0.5429010371231946,-0.2714505185615973,Multi-District,-0.34350877192982454,-0.34350877192982454,-0.19939226519337006,0.07205825336822724,Complete,2,2.5,Montana
2020,NE,R+13,0.63,-0.6553455066237022,-0.2184485022079007,Multi-District,-0.6553455066237022,-0.2184485022079007,0.0,0.0,Complete,4,4.5,Nebraska 
2020,NV,R+0,0.5,0.22740918869122773,0.05685229717280693,Multi-District,0.017227944079416524,0.004306986019854131,0.2101812446118112,0.0525453111529528,Complete,4,2.5,Nevada 
2020,NH,R+0,0.5,,,Multi-District,0.037195523370638583,0.018597761685319292,,,Incomplete,1,11.0,New Hampshire 
2020,NJ,D+6,0.44,2.2823376824009527,0.19019480686674606,Multi-District,1.421701318254112,0.11847510985450933,0.8606363641468406,0.07171969701223672,Complete,3,10.0,New Jersey 
2020,NM,D+3,0.47,0.6879946579001438,0.22933155263338126,Multi-District,0.4074558525999077,0.13581861753330257,0.2805388053002361,0.09351293510007869,Complete,6,3.5,New Mexico 
2020,NY,D+10,0.4,4.835032206189779,0.18596277716114534,Multi-District,2.4267662183001697,0.0898802303074137,2.4082659878896093,0.09608254685373165,Complete,2,9.5,New York 
2020,NC,R+3,0.53,-0.1036116314489881,-0.007400830817784865,Multi-District,-0.7676470696329112,-0.05904977458714701,0.6640354381839231,0.051648943769362146,Complete,5,9.0,North Carolina 
2020,ND,R+20,0.7,-0.2535087719298246,-0.2535087719298246,Single District,-0.2535087719298246,-0.2535087719298246,0.0,0.0,Complete,2,3.5,North Dakota 
2020,OH,R+6,0.56,,,Multi-District,-2.3115955431306805,-0.14447472144566753,,,Incomplete,3,8.0,Ohio 
2020,OK,R+20,0.7,-1.360526315789473,-0.2721052631578946,Multi-District,-1.2164098090530189,-0.24328196181060377,-0.14411650673645404,-0.028823301347290803,Complete,6,4.5,Oklahoma 
2020,OR,D+6,0.44,0.8978616474720149,0.14964360791200249,Multi-District,0.3070460395387009,0.06140920790774018,0.590815607933314,0.0882344000042623,Complete,4,1.5,Oregon 
2020,PA,R+2,0.52,-0.16023236386924467,-0.009425433168779099,Multi-District,-0.6204972043225183,-0.03447206690680657,0.46026484045327365,0.02504663373802747,Complete,3,9.0,Pennsylvania
2020,RI,D+8,0.42,0.8311012235817575,0.41555061179087877,Multi-District,0.6480506117908788,0.3240253058954394,0.18305061179087878,0.09152530589543939,Complete,2,11.5,Rhode Island 
2020,SC,R+8,0.58,-1.7119932478582447,-0.24457046397974924,Multi-District,-1.5678767411217889,-0.223982391588827,-0.14411650673645582,-0.020588072390922252,Complete,6,8.5,South Carolina 
2020,SD,R+16,0.66,-0.2935087719298245,-0.2935087719298245,Single District,-0.2935087719298245,-0.2935087719298245,0.0,0.0,Complete,3,4.0,South Dakota 
2020,TN,R+14,0.64,-2.0119932478582427,-0.22355480531758254,Multi-District,-1.104975703998596,-0.12277507822206621,-0.9070175438596468,-0.10077972709551633,Complete,5,7.0,Tennessee 
2020,TX,R+5,0.55,-2.6889205134501246,-0.07076106614342433,Multi-District,-1.9981849387159976,-0.05550513718655549,-0.6907355747341271,-0.015255928956868836,Complete,7,4.0,Texas 
2020,UT,R+13,0.63,-1.294035087719298,-0.3235087719298245,Multi-District,-1.149918580982844,-0.287479645245711,-0.14411650673645404,-0.03602912668411351,Complete,5,4.0,Utah 
2020,VT,D+15,0.35,0.34555061179087876,0.34555061179087876,Single District,0.34555061179087876,0.34555061179087876,0.0,0.0,Complete,1,10.0,Vermont 
2020,VA,D+2,0.48,0.4432693599007127,0.04029721453642843,Multi-District,0.3697637680902943,0.033614888008208575,0.07350559181041838,0.006682326528219852,Complete,5,8.0,Virginia 
2020,WA,D+8,0.42,0.8325088842823138,0.08325088842823139,Multi-District,0.9370412382994568,0.09370412382994568,-0.104532354017143,-0.010453235401714292,Complete,2,1.5,Washington 
2020,WV,R+23,0.73,-0.4470175438596491,-0.22350877192982455,Multi-District,-0.7635087719298244,-0.2545029239766081,0.31649122807017527,0.030994152046783574,Complete,4,7.5,West Virginia 
2020,WI,R+2,0.52,,,Multi-District,-1.2613169550189838,-0.15766461937737297,,,Incomplete,2,5.5,Wisconsin 
2020,WY,R+26,0.76,-0.24,-0.24,Single District,-0.24,-0.24,0.0,0.0,Complete,3,3.0,Wyoming
